S.No.,Student Name,Roll Number,Email,Department,Subject,Subject Code,Date,Status,Verification Method,Face Confidence,Marked At
314,"Advaith Sharma",CSE2023015,"student15@local.com","Computer Science & Engineering","Database Management Systems",CSE301,16/4/2026,PRESENT,face,0.9335,16/4/2026, 1:01:51 pm
315,"Reyansh Sharma",CSE2023007,"student7@local.com","Computer Science & Engineering","Database Management Systems",CSE301,16/4/2026,PRESENT,face,0.7859,16/4/2026, 1:04:46 pm
316,"Sai Sharma",CSE2023006,"student6@local.com","Computer Science & Engineering","Database Management Systems",CSE301,16/4/2026,PRESENT,face,0.7614,16/4/2026, 1:04:28 pm
317,"Aditya Sharma",CSE2023003,"student3@local.com","Computer Science & Engineering","Database Management Systems",CSE301,16/4/2026,ABSENT,manual,N/A,16/4/2026, 1:04:53 pm
318,"Ritvik Sharma",CSE2023018,"student18@local.com","Computer Science & Engineering","Database Management Systems",CSE301,16/4/2026,PRESENT,face,0.9230,16/4/2026, 1:02:16 pm
319,"Vivaan Sharma",CSE2023002,"student2@local.com","Computer Science & Engineering","Database Management Systems",CSE301,16/4/2026,PRESENT,face,0.9492,16/4/2026, 1:03:07 pm
320,"Anirudh Sharma",CSE2023019,"student19@local.com","Computer Science & Engineering","Database Management Systems",CSE301,16/4/2026,PRESENT,face,0.9301,16/4/2026, 1:01:12 pm
321,"Krishna Sharma",CSE2023009,"student9@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,14/4/2026,PRESENT,face,0.8717,14/4/2026, 9:00:16 am
322,"Ishaan Sharma",CSE2023010,"student10@local.com","Computer Science & Engineering","Database Management Systems",CSE301,14/4/2026,PRESENT,face,0.8620,14/4/2026, 10:01:21 am
323,"Arjun Sharma",CSE2023005,"student5@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,14/4/2026,PRESENT,face,0.7609,14/4/2026, 9:00:35 am
324,"Aditya Sharma",CSE2023003,"student3@local.com","Computer Science & Engineering","Database Management Systems",CSE301,14/4/2026,LATE,face,0.9402,14/4/2026, 10:23:16 am
325,"Advik Sharma",CSE2023013,"student13@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,14/4/2026,ABSENT,manual,N/A,14/4/2026, 9:00:21 am
326,"Dhruv Sharma",CSE2023020,"student20@local.com","Computer Science & Engineering","Computer Networks",CSE401,14/4/2026,PRESENT,face,0.7611,14/4/2026, 12:00:56 pm
327,"Vihaan Sharma",CSE2023004,"student4@local.com","Computer Science & Engineering","Computer Networks",CSE401,14/4/2026,ABSENT,manual,N/A,14/4/2026, 12:01:03 pm
328,"Sai Sharma",CSE2023006,"student6@local.com","Computer Science & Engineering","Database Management Systems",CSE301,14/4/2026,PRESENT,face,0.7988,14/4/2026, 10:02:40 am
329,"Pranav Sharma",CSE2023014,"student14@local.com","Computer Science & Engineering","Database Management Systems",CSE301,14/4/2026,PRESENT,face,0.9452,14/4/2026, 10:01:04 am
330,"Atharv Sharma",CSE2023012,"student12@local.com","Computer Science & Engineering","Computer Networks",CSE401,14/4/2026,PRESENT,face,0.9441,14/4/2026, 12:00:20 pm
331,"Vivaan Sharma",CSE2023002,"student2@local.com","Computer Science & Engineering","Database Management Systems",CSE301,14/4/2026,ABSENT,manual,N/A,14/4/2026, 10:01:02 am
332,"Ritvik Sharma",CSE2023018,"student18@local.com","Computer Science & Engineering","Database Management Systems",CSE301,14/4/2026,PRESENT,face,0.8127,14/4/2026, 10:01:38 am
333,"Ayaan Sharma",CSE2023008,"student8@local.com","Computer Science & Engineering","Computer Networks",CSE401,14/4/2026,PRESENT,face,0.8374,14/4/2026, 12:01:52 pm
334,"Advaith Sharma",CSE2023015,"student15@local.com","Computer Science & Engineering","Database Management Systems",CSE301,14/4/2026,PRESENT,face,0.8019,14/4/2026, 10:02:45 am
335,"Anirudh Sharma",CSE2023019,"student19@local.com","Computer Science & Engineering","Database Management Systems",CSE301,14/4/2026,ABSENT,manual,N/A,14/4/2026, 10:03:04 am
336,"Aarush Sharma",CSE2023016,"student16@local.com","Computer Science & Engineering","Computer Networks",CSE401,14/4/2026,PRESENT,face,0.7521,14/4/2026, 12:00:13 pm
337,"Shaurya Sharma",CSE2023011,"student11@local.com","Computer Science & Engineering","Database Management Systems",CSE301,14/4/2026,PRESENT,face,0.8920,14/4/2026, 10:02:35 am
338,"Reyansh Sharma",CSE2023007,"student7@local.com","Computer Science & Engineering","Database Management Systems",CSE301,14/4/2026,ABSENT,manual,N/A,14/4/2026, 10:02:17 am
339,"Aarav Sharma",CSE2023001,"student@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,14/4/2026,LATE,face,0.7724,14/4/2026, 9:20:09 am
340,"Kabir Sharma",CSE2023017,"student17@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,14/4/2026,LATE,face,0.7696,14/4/2026, 9:22:27 am
341,"Aarav Sharma",CSE2023001,"student@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,9/4/2026,PRESENT,face,0.9099,9/4/2026, 12:04:52 pm
342,"Kabir Sharma",CSE2023017,"student17@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,9/4/2026,PRESENT,face,0.9838,9/4/2026, 12:00:28 pm
343,"Krishna Sharma",CSE2023009,"student9@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,9/4/2026,PRESENT,face,0.9730,9/4/2026, 12:02:24 pm
344,"Advik Sharma",CSE2023013,"student13@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,9/4/2026,PRESENT,face,0.9031,9/4/2026, 12:00:48 pm
345,"Arjun Sharma",CSE2023005,"student5@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,9/4/2026,PRESENT,face,0.8892,9/4/2026, 12:04:00 pm
346,"Atharv Sharma",CSE2023012,"student12@local.com","Computer Science & Engineering","Computer Networks",CSE401,7/4/2026,PRESENT,face,0.9890,7/4/2026, 12:03:41 pm
347,"Ayaan Sharma",CSE2023008,"student8@local.com","Computer Science & Engineering","Computer Networks",CSE401,7/4/2026,PRESENT,face,0.8513,7/4/2026, 12:00:32 pm
348,"Dhruv Sharma",CSE2023020,"student20@local.com","Computer Science & Engineering","Computer Networks",CSE401,7/4/2026,PRESENT,face,0.8684,7/4/2026, 12:02:48 pm
349,"Aarush Sharma",CSE2023016,"student16@local.com","Computer Science & Engineering","Computer Networks",CSE401,7/4/2026,PRESENT,face,0.7773,7/4/2026, 12:04:14 pm
350,"Vihaan Sharma",CSE2023004,"student4@local.com","Computer Science & Engineering","Computer Networks",CSE401,7/4/2026,PRESENT,face,0.8894,7/4/2026, 12:04:35 pm
351,"Arjun Sharma",CSE2023005,"student5@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,6/4/2026,ABSENT,manual,N/A,6/4/2026, 12:04:58 pm
352,"Advik Sharma",CSE2023013,"student13@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,6/4/2026,PRESENT,face,0.8991,6/4/2026, 12:02:33 pm
353,"Kabir Sharma",CSE2023017,"student17@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,6/4/2026,PRESENT,face,0.7680,6/4/2026, 12:00:57 pm
354,"Krishna Sharma",CSE2023009,"student9@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,6/4/2026,LATE,face,0.9578,6/4/2026, 12:20:43 pm
355,"Aarav Sharma",CSE2023001,"student@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,6/4/2026,PRESENT,face,0.9186,6/4/2026, 12:02:39 pm
356,"Reyansh Sharma",CSE2023007,"student7@local.com","Computer Science & Engineering","Database Management Systems",CSE301,3/4/2026,PRESENT,face,0.8419,3/4/2026, 9:01:18 am
357,"Advaith Sharma",CSE2023015,"student15@local.com","Computer Science & Engineering","Database Management Systems",CSE301,3/4/2026,PRESENT,face,0.9284,3/4/2026, 9:01:40 am
358,"Anirudh Sharma",CSE2023019,"student19@local.com","Computer Science & Engineering","Database Management Systems",CSE301,3/4/2026,PRESENT,face,0.8776,3/4/2026, 9:01:46 am
359,"Sai Sharma",CSE2023006,"student6@local.com","Computer Science & Engineering","Database Management Systems",CSE301,3/4/2026,PRESENT,face,0.9631,3/4/2026, 9:04:34 am
360,"Vivaan Sharma",CSE2023002,"student2@local.com","Computer Science & Engineering","Database Management Systems",CSE301,3/4/2026,PRESENT,face,0.9401,3/4/2026, 9:04:23 am
361,"Aditya Sharma",CSE2023003,"student3@local.com","Computer Science & Engineering","Database Management Systems",CSE301,3/4/2026,PRESENT,face,0.9790,3/4/2026, 9:03:49 am
362,"Ritvik Sharma",CSE2023018,"student18@local.com","Computer Science & Engineering","Database Management Systems",CSE301,3/4/2026,PRESENT,face,0.9482,3/4/2026, 9:04:18 am
363,"Ishaan Sharma",CSE2023010,"student10@local.com","Computer Science & Engineering","Database Management Systems",CSE301,3/4/2026,PRESENT,face,0.9067,3/4/2026, 9:01:01 am
364,"Pranav Sharma",CSE2023014,"student14@local.com","Computer Science & Engineering","Database Management Systems",CSE301,3/4/2026,PRESENT,face,0.9693,3/4/2026, 9:01:35 am
365,"Shaurya Sharma",CSE2023011,"student11@local.com","Computer Science & Engineering","Database Management Systems",CSE301,3/4/2026,PRESENT,face,0.8386,3/4/2026, 9:05:00 am
366,"Reyansh Sharma",CSE2023007,"student7@local.com","Computer Science & Engineering","Database Management Systems",CSE301,1/4/2026,PRESENT,face,0.9735,1/4/2026, 12:04:37 pm
367,"Advaith Sharma",CSE2023015,"student15@local.com","Computer Science & Engineering","Database Management Systems",CSE301,1/4/2026,PRESENT,face,0.8246,1/4/2026, 12:01:50 pm
368,"Aditya Sharma",CSE2023003,"student3@local.com","Computer Science & Engineering","Database Management Systems",CSE301,1/4/2026,PRESENT,face,0.9210,1/4/2026, 12:00:29 pm
369,"Anirudh Sharma",CSE2023019,"student19@local.com","Computer Science & Engineering","Database Management Systems",CSE301,1/4/2026,LATE,face,0.9153,1/4/2026, 12:19:09 pm
370,"Vivaan Sharma",CSE2023002,"student2@local.com","Computer Science & Engineering","Database Management Systems",CSE301,1/4/2026,PRESENT,face,0.8334,1/4/2026, 12:00:50 pm
371,"Sai Sharma",CSE2023006,"student6@local.com","Computer Science & Engineering","Database Management Systems",CSE301,1/4/2026,PRESENT,face,0.7937,1/4/2026, 12:01:00 pm
372,"Ritvik Sharma",CSE2023018,"student18@local.com","Computer Science & Engineering","Database Management Systems",CSE301,1/4/2026,LATE,face,0.9626,1/4/2026, 12:20:20 pm
373,"Ishaan Sharma",CSE2023010,"student10@local.com","Computer Science & Engineering","Database Management Systems",CSE301,1/4/2026,PRESENT,face,0.8090,1/4/2026, 12:00:10 pm
374,"Pranav Sharma",CSE2023014,"student14@local.com","Computer Science & Engineering","Database Management Systems",CSE301,1/4/2026,PRESENT,face,0.8089,1/4/2026, 12:04:42 pm
375,"Shaurya Sharma",CSE2023011,"student11@local.com","Computer Science & Engineering","Database Management Systems",CSE301,1/4/2026,PRESENT,face,0.7596,1/4/2026, 12:00:23 pm
376,"Aditya Sharma",CSE2023003,"student3@local.com","Computer Science & Engineering","Operating Systems",CSE302,31/3/2026,PRESENT,face,0.8592,31/3/2026, 10:03:00 am
377,"Pranav Sharma",CSE2023014,"student14@local.com","Computer Science & Engineering","Operating Systems",CSE302,31/3/2026,PRESENT,face,0.8750,31/3/2026, 10:00:05 am
378,"Ishaan Sharma",CSE2023010,"student10@local.com","Computer Science & Engineering","Operating Systems",CSE302,31/3/2026,PRESENT,face,0.9309,31/3/2026, 10:04:00 am
379,"Sai Sharma",CSE2023006,"student6@local.com","Computer Science & Engineering","Operating Systems",CSE302,31/3/2026,PRESENT,face,0.9344,31/3/2026, 10:04:14 am
380,"Vivaan Sharma",CSE2023002,"student2@local.com","Computer Science & Engineering","Operating Systems",CSE302,31/3/2026,PRESENT,face,0.8378,31/3/2026, 10:02:02 am
381,"Ritvik Sharma",CSE2023018,"student18@local.com","Computer Science & Engineering","Operating Systems",CSE302,31/3/2026,PRESENT,face,0.9671,31/3/2026, 10:04:06 am
382,"Reyansh Sharma",CSE2023007,"student7@local.com","Computer Science & Engineering","Operating Systems",CSE302,31/3/2026,PRESENT,face,0.9246,31/3/2026, 10:02:20 am
383,"Anirudh Sharma",CSE2023019,"student19@local.com","Computer Science & Engineering","Operating Systems",CSE302,31/3/2026,PRESENT,face,0.9691,31/3/2026, 10:03:11 am
384,"Shaurya Sharma",CSE2023011,"student11@local.com","Computer Science & Engineering","Operating Systems",CSE302,31/3/2026,PRESENT,face,0.8080,31/3/2026, 10:02:50 am
385,"Advaith Sharma",CSE2023015,"student15@local.com","Computer Science & Engineering","Operating Systems",CSE302,31/3/2026,PRESENT,face,0.9584,31/3/2026, 10:03:31 am
386,"Aditya Sharma",CSE2023003,"student3@local.com","Computer Science & Engineering","Database Management Systems",CSE301,30/3/2026,ABSENT,manual,N/A,30/3/2026, 10:03:43 am
387,"Anirudh Sharma",CSE2023019,"student19@local.com","Computer Science & Engineering","Database Management Systems",CSE301,30/3/2026,PRESENT,face,0.9667,30/3/2026, 10:04:48 am
388,"Pranav Sharma",CSE2023014,"student14@local.com","Computer Science & Engineering","Database Management Systems",CSE301,30/3/2026,PRESENT,face,0.8937,30/3/2026, 10:00:44 am
389,"Ritvik Sharma",CSE2023018,"student18@local.com","Computer Science & Engineering","Database Management Systems",CSE301,30/3/2026,PRESENT,face,0.7578,30/3/2026, 10:00:19 am
390,"Advaith Sharma",CSE2023015,"student15@local.com","Computer Science & Engineering","Database Management Systems",CSE301,30/3/2026,PRESENT,face,0.8468,30/3/2026, 10:01:56 am
391,"Sai Sharma",CSE2023006,"student6@local.com","Computer Science & Engineering","Database Management Systems",CSE301,30/3/2026,PRESENT,face,0.9873,30/3/2026, 10:04:46 am
392,"Vivaan Sharma",CSE2023002,"student2@local.com","Computer Science & Engineering","Database Management Systems",CSE301,30/3/2026,ABSENT,manual,N/A,30/3/2026, 10:03:52 am
393,"Reyansh Sharma",CSE2023007,"student7@local.com","Computer Science & Engineering","Database Management Systems",CSE301,30/3/2026,PRESENT,face,0.9042,30/3/2026, 10:03:20 am
394,"Shaurya Sharma",CSE2023011,"student11@local.com","Computer Science & Engineering","Database Management Systems",CSE301,30/3/2026,ABSENT,manual,N/A,30/3/2026, 10:02:35 am
395,"Ishaan Sharma",CSE2023010,"student10@local.com","Computer Science & Engineering","Database Management Systems",CSE301,30/3/2026,LATE,face,0.9054,30/3/2026, 10:18:21 am
396,"Kabir Sharma",CSE2023017,"student17@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,27/3/2026,PRESENT,face,0.8774,27/3/2026, 12:01:29 pm
397,"Krishna Sharma",CSE2023009,"student9@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,27/3/2026,PRESENT,face,0.7804,27/3/2026, 12:03:17 pm
398,"Advik Sharma",CSE2023013,"student13@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,27/3/2026,PRESENT,face,0.8424,27/3/2026, 12:00:03 pm
399,"Arjun Sharma",CSE2023005,"student5@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,27/3/2026,PRESENT,face,0.9630,27/3/2026, 12:00:38 pm
400,"Aarav Sharma",CSE2023001,"student@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,27/3/2026,ABSENT,manual,N/A,27/3/2026, 12:04:34 pm
401,"Advaith Sharma",CSE2023015,"student15@local.com","Computer Science & Engineering","Database Management Systems",CSE301,26/3/2026,PRESENT,face,0.7902,26/3/2026, 9:02:33 am
402,"Sai Sharma",CSE2023006,"student6@local.com","Computer Science & Engineering","Database Management Systems",CSE301,26/3/2026,LATE,face,0.8273,26/3/2026, 9:20:09 am
403,"Ishaan Sharma",CSE2023010,"student10@local.com","Computer Science & Engineering","Database Management Systems",CSE301,26/3/2026,PRESENT,face,0.9687,26/3/2026, 9:04:56 am
404,"Aditya Sharma",CSE2023003,"student3@local.com","Computer Science & Engineering","Database Management Systems",CSE301,26/3/2026,PRESENT,face,0.9092,26/3/2026, 9:01:52 am
405,"Vivaan Sharma",CSE2023002,"student2@local.com","Computer Science & Engineering","Database Management Systems",CSE301,26/3/2026,PRESENT,face,0.7625,26/3/2026, 9:02:47 am
406,"Ritvik Sharma",CSE2023018,"student18@local.com","Computer Science & Engineering","Database Management Systems",CSE301,26/3/2026,PRESENT,face,0.9327,26/3/2026, 9:04:47 am
407,"Pranav Sharma",CSE2023014,"student14@local.com","Computer Science & Engineering","Database Management Systems",CSE301,26/3/2026,PRESENT,face,0.9678,26/3/2026, 9:00:18 am
408,"Shaurya Sharma",CSE2023011,"student11@local.com","Computer Science & Engineering","Database Management Systems",CSE301,26/3/2026,PRESENT,face,0.8735,26/3/2026, 9:00:07 am
409,"Reyansh Sharma",CSE2023007,"student7@local.com","Computer Science & Engineering","Database Management Systems",CSE301,26/3/2026,ABSENT,manual,N/A,26/3/2026, 9:01:21 am
410,"Anirudh Sharma",CSE2023019,"student19@local.com","Computer Science & Engineering","Database Management Systems",CSE301,26/3/2026,PRESENT,face,0.8694,26/3/2026, 9:03:32 am
411,"Aditya Sharma",CSE2023003,"student3@local.com","Computer Science & Engineering","Database Management Systems",CSE301,24/3/2026,PRESENT,face,0.8472,24/3/2026, 11:00:10 am
412,"Ritvik Sharma",CSE2023018,"student18@local.com","Computer Science & Engineering","Database Management Systems",CSE301,24/3/2026,LATE,face,0.8006,24/3/2026, 11:24:14 am
413,"Sai Sharma",CSE2023006,"student6@local.com","Computer Science & Engineering","Database Management Systems",CSE301,24/3/2026,PRESENT,face,0.7827,24/3/2026, 11:03:11 am
414,"Vivaan Sharma",CSE2023002,"student2@local.com","Computer Science & Engineering","Database Management Systems",CSE301,24/3/2026,PRESENT,face,0.8248,24/3/2026, 11:03:16 am
415,"Advaith Sharma",CSE2023015,"student15@local.com","Computer Science & Engineering","Database Management Systems",CSE301,24/3/2026,PRESENT,face,0.8974,24/3/2026, 11:03:28 am
416,"Pranav Sharma",CSE2023014,"student14@local.com","Computer Science & Engineering","Database Management Systems",CSE301,24/3/2026,ABSENT,manual,N/A,24/3/2026, 11:00:36 am
417,"Anirudh Sharma",CSE2023019,"student19@local.com","Computer Science & Engineering","Database Management Systems",CSE301,24/3/2026,PRESENT,face,0.7881,24/3/2026, 11:00:54 am
418,"Ishaan Sharma",CSE2023010,"student10@local.com","Computer Science & Engineering","Database Management Systems",CSE301,24/3/2026,PRESENT,face,0.8970,24/3/2026, 11:02:23 am
419,"Shaurya Sharma",CSE2023011,"student11@local.com","Computer Science & Engineering","Database Management Systems",CSE301,24/3/2026,ABSENT,manual,N/A,24/3/2026, 11:00:32 am
420,"Reyansh Sharma",CSE2023007,"student7@local.com","Computer Science & Engineering","Database Management Systems",CSE301,24/3/2026,PRESENT,face,0.7973,24/3/2026, 11:01:05 am
421,"Sai Sharma",CSE2023006,"student6@local.com","Computer Science & Engineering","Database Management Systems",CSE301,23/3/2026,PRESENT,face,0.7843,23/3/2026, 9:02:54 am
422,"Ritvik Sharma",CSE2023018,"student18@local.com","Computer Science & Engineering","Database Management Systems",CSE301,23/3/2026,LATE,face,0.9161,23/3/2026, 9:19:04 am
423,"Vihaan Sharma",CSE2023004,"student4@local.com","Computer Science & Engineering","Computer Networks",CSE401,23/3/2026,PRESENT,face,0.8745,23/3/2026, 9:00:47 am
424,"Reyansh Sharma",CSE2023007,"student7@local.com","Computer Science & Engineering","Database Management Systems",CSE301,23/3/2026,PRESENT,face,0.7818,23/3/2026, 9:03:32 am
425,"Advaith Sharma",CSE2023015,"student15@local.com","Computer Science & Engineering","Database Management Systems",CSE301,23/3/2026,ABSENT,manual,N/A,23/3/2026, 9:03:50 am
426,"Atharv Sharma",CSE2023012,"student12@local.com","Computer Science & Engineering","Computer Networks",CSE401,23/3/2026,PRESENT,face,0.8395,23/3/2026, 9:03:54 am
427,"Shaurya Sharma",CSE2023011,"student11@local.com","Computer Science & Engineering","Database Management Systems",CSE301,23/3/2026,LATE,face,0.8957,23/3/2026, 9:19:07 am
428,"Dhruv Sharma",CSE2023020,"student20@local.com","Computer Science & Engineering","Computer Networks",CSE401,23/3/2026,LATE,face,0.8425,23/3/2026, 9:23:48 am
429,"Pranav Sharma",CSE2023014,"student14@local.com","Computer Science & Engineering","Database Management Systems",CSE301,23/3/2026,PRESENT,face,0.9897,23/3/2026, 9:03:08 am
430,"Ayaan Sharma",CSE2023008,"student8@local.com","Computer Science & Engineering","Computer Networks",CSE401,23/3/2026,PRESENT,face,0.8012,23/3/2026, 9:03:39 am
431,"Ishaan Sharma",CSE2023010,"student10@local.com","Computer Science & Engineering","Database Management Systems",CSE301,23/3/2026,PRESENT,face,0.8138,23/3/2026, 9:00:34 am
432,"Aarush Sharma",CSE2023016,"student16@local.com","Computer Science & Engineering","Computer Networks",CSE401,23/3/2026,PRESENT,face,0.8679,23/3/2026, 9:01:07 am
433,"Anirudh Sharma",CSE2023019,"student19@local.com","Computer Science & Engineering","Database Management Systems",CSE301,23/3/2026,PRESENT,face,0.9546,23/3/2026, 9:03:49 am
434,"Vivaan Sharma",CSE2023002,"student2@local.com","Computer Science & Engineering","Database Management Systems",CSE301,23/3/2026,ABSENT,manual,N/A,23/3/2026, 9:00:28 am
435,"Aditya Sharma",CSE2023003,"student3@local.com","Computer Science & Engineering","Database Management Systems",CSE301,23/3/2026,PRESENT,face,0.9008,23/3/2026, 9:02:12 am
